dataset,method,q,model,AUC_mean,PR_AUC_mean,dAUC_mean,dPR_mean,t_red_med,t_mod_med
DS-A,MLP_unar,5,HGBT,0.988919,0.990394,0.000566,0.001601,75.101636,0.231676
DS-A,HSIC_Lasso,3,HGBT,0.987754,0.98855,-0.000599,-0.000243,0.300731,0.211273
DS-A,HSIC_Lasso,5,HGBT,0.986532,0.987296,-0.001821,-0.001497,0.280258,0.223886
DS-A,MLP_unar,2,HGBT,0.986348,0.986826,-0.002006,-0.001966,117.725034,0.204162
DS-A,PCA,5,HGBT,0.986327,0.98351,-0.002027,-0.005282,0.001225,0.236653
DS-A,MLP_unar,3,HGBT,0.985921,0.987263,-0.002432,-0.001529,106.325773,0.323044
DS-A,PLS,5,HGBT,0.983284,0.983515,-0.005069,-0.005277,0.002653,0.226112
DS-A,PCA,3,HGBT,0.982696,0.981152,-0.005657,-0.007641,0.001158,0.210256
DS-A,UMAP_sup,5,HGBT,0.981842,0.975839,-0.006511,-0.012954,12.897769,0.223852
DS-A,UMAP_sup,3,HGBT,0.98174,0.978744,-0.006613,-0.010049,12.419136,0.215452
DS-A,PLS,3,HGBT,0.981381,0.9813,-0.006972,-0.007492,0.002058,0.206862
DS-A,UMAP_sup,2,HGBT,0.980732,0.980909,-0.007621,-0.007884,11.71031,0.199346
DS-A,PLS,2,HGBT,0.980662,0.979784,-0.007691,-0.009009,0.001888,0.199345
DS-A,PCA,2,HGBT,0.978915,0.975961,-0.009438,-0.012831,0.001453,0.19911
DS-A,HSIC_Lasso,2,HGBT,0.970565,0.974506,-0.017788,-0.014287,0.285843,0.200469
DS-A,HSIC_Lasso,5,MLP,0.986713,0.988009,0.000638,0.001646,0.280258,0.173197
DS-A,MLP_unar,3,MLP,0.984815,0.986107,-0.00126,-0.000256,106.325773,0.827545
DS-A,MLP_unar,2,MLP,0.984589,0.985793,-0.001487,-0.00057,117.725034,0.205935
DS-A,PCA,5,MLP,0.984573,0.983518,-0.001502,-0.002845,0.001225,0.25515
DS-A,PCA,3,MLP,0.984529,0.984277,-0.001547,-0.002086,0.001158,0.191964
DS-A,PLS,3,MLP,0.984493,0.984251,-0.001582,-0.002112,0.002058,0.157493
DS-A,PLS,2,MLP,0.984433,0.984184,-0.001642,-0.002179,0.001888,0.1562
DS-A,PCA,2,MLP,0.984104,0.984548,-0.001971,-0.001815,0.001453,0.261257
DS-A,HSIC_Lasso,3,MLP,0.9833,0.984784,-0.002776,-0.001579,0.300731,0.273864
DS-A,PLS,5,MLP,0.982666,0.983012,-0.003409,-0.003351,0.002653,0.166903
DS-A,MLP_unar,5,MLP,0.981584,0.982671,-0.004491,-0.003692,75.101636,0.188049
DS-A,UMAP_sup,5,MLP,0.980662,0.979699,-0.005413,-0.006664,12.897769,0.209122
DS-A,UMAP_sup,3,MLP,0.979955,0.979153,-0.00612,-0.00721,12.419136,0.152262
DS-A,UMAP_sup,2,MLP,0.977611,0.975042,-0.008465,-0.011321,11.71031,0.147092
DS-A,HSIC_Lasso,2,MLP,0.971751,0.975836,-0.014325,-0.010527,0.285843,0.137024
