fold,train_size,test_size,accuracy,classification_error,f1_score,n_selected,selected_indices,test_indices_file,eta_npy_file,eta_csv_file
1,55.0,7.0,1.0,0.0,1.0,14.0,"13,137,244,266,285,376,492,512,963,1041,1220,1345,1634,1883",results_colon_cv_seed42_4_100_2_64_10000_0.25/test_indices/fold_01_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_01_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_01_eta.csv
2,55.0,7.0,0.8571428571428571,0.1428571428571429,0.8,14.0,"30,142,439,558,560,738,805,1001,1041,1581,1633,1771,1842,1872",results_colon_cv_seed42_4_100_2_64_10000_0.25/test_indices/fold_02_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_02_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_02_eta.csv
3,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"13,137,244,248,266,364,376,492,570,764,779,1634,1770,1872",results_colon_cv_seed42_4_100_2_64_10000_0.25/test_indices/fold_03_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_03_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_03_eta.csv
4,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"42,136,410,512,575,697,963,1465,1634,1771,1797,1835,1886,1959",results_colon_cv_seed42_4_100_2_64_10000_0.25/test_indices/fold_04_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_04_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_04_eta.csv
5,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"46,188,390,398,410,488,1313,1333,1559,1633,1678,1771,1892,1937",results_colon_cv_seed42_4_100_2_64_10000_0.25/test_indices/fold_05_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_05_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_05_eta.csv
6,56.0,6.0,0.6666666666666666,0.33333333333333337,0.5,14.0,"25,248,266,285,376,492,560,811,896,1324,1422,1581,1770,1771",results_colon_cv_seed42_4_100_2_64_10000_0.25/test_indices/fold_06_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_06_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_06_eta.csv
7,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"364,376,418,512,626,779,1059,1259,1559,1658,1667,1770,1771,1883",results_colon_cv_seed42_4_100_2_64_10000_0.25/test_indices/fold_07_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_07_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_07_eta.csv
8,56.0,6.0,0.6666666666666666,0.33333333333333337,0.0,14.0,"13,285,376,580,801,811,1209,1410,1422,1729,1883,1891,1916,1959",results_colon_cv_seed42_4_100_2_64_10000_0.25/test_indices/fold_08_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_08_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_08_eta.csv
9,56.0,6.0,0.8333333333333334,0.16666666666666663,0.8,14.0,"136,137,248,266,364,376,418,492,624,764,1059,1634,1770,1788",results_colon_cv_seed42_4_100_2_64_10000_0.25/test_indices/fold_09_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_09_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_09_eta.csv
10,56.0,6.0,0.8333333333333334,0.16666666666666663,0.6666666666666666,14.0,"189,285,492,512,764,1057,1109,1352,1545,1667,1770,1872,1934,1959",results_colon_cv_seed42_4_100_2_64_10000_0.25/test_indices/fold_10_test_indices.txt,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_10_eta.npy,results_colon_cv_seed42_4_100_2_64_10000_0.25/eta_vectors/fold_10_eta.csv
mean,55.8,6.2,0.819047619047619,0.18095238095238092,0.6833333333333333,14.0,,,,
std,0.4216370213557839,0.4216370213557839,0.09537027863999877,0.09537027863999877,0.27273194908074616,0.0,,,,
